feature,mean_abs_coef,mean_coef,std_coef,cv_coef
movie_mean_rating,0.16860501920936494,0.16848363241120237,0.09919118115724257,0.5883049967274234
movie_bayesian_mean,0.11775578930721155,0.11719376653001828,0.06276869319327419,0.5330412052956965
decade_1990.0,0.0533183787615488,-0.011937767585758154,0.0689533994821457,1.2932386196162078
decade_2000.0,0.05060277966962856,-0.002519986331253521,0.07019023723128438,1.387082366200298
decade_1980.0,0.04567444324424231,0.003673961893854652,0.06117177064811649,1.339299461802047
tag_807,0.042867401985491126,-0.03869480901758635,0.035211388412402754,0.8214022443043768
movie_std_rating,0.040338022982538406,-0.020135365369242885,0.0580622106228398,1.43939122286835
genre_comedy,0.04001009773505224,-0.0025164177695860034,0.05241919697156723,1.3101488583507006
tag_521,0.039469227489707645,-0.03483718083239294,0.03662271927269958,0.9278800808414314
genre_drama,0.03905935162836998,0.006685438299842854,0.05137730941670594,1.3153648005191427
tag_979,0.038454714774735554,-0.028364140081903425,0.03956959814209104,1.0289918436261425
genre_thriller,0.0383962701665843,0.0002547929179949119,0.05024098130365036,1.3084856419860778
genre_romance,0.03817187667737653,-0.004130337604547366,0.050330058367043164,1.318511154358856
decade_1970.0,0.03790147186111555,0.003066302792861052,0.052228945997404484,1.378018574281339
tag_230,0.037885785817661145,-0.0007684680796766414,0.04986254800895236,1.3161277711819381
genre_fantasy,0.03744184597783659,3.506216399210316e-05,0.04991205180114671,1.3330549594200605
genre_crime,0.03729726003297922,0.0011751066193357092,0.04854856075312106,1.3016652615645368
tag_406,0.036931019787475164,-0.010883236267705548,0.047839686783224616,1.2953791718921692
tag_439,0.03590859732427034,-0.007611054797788263,0.04614732475327951,1.2851326796539086
tag_374,0.03547307749705348,-0.016737106569186935,0.043732481108897256,1.2328354872557916
tag_215,0.0351615992142036,0.01326331393033691,0.043819925069950444,1.2462434470220236
genre_adventure,0.0348464734008135,-0.002283367992089836,0.04589034214929574,1.3169289314348551
tag_100,0.03463939300880024,-0.030515430718316687,0.03191437711458102,0.921331614937852
genre_action,0.034453615397812574,-0.0030821536937732387,0.04369292009733256,1.2681661100345794
tag_920,0.03427277254119631,-0.013510508377560432,0.04312727999888447,1.2583536206038988
tag_481,0.03393144566048915,0.004292608133985164,0.04499326580943055,1.3260045858221792
tag_354,0.03375128089884331,0.005205211030701332,0.04395096705620851,1.3022010680401785
tag_107,0.033730886925178824,0.0010223571634531566,0.043763540974276094,1.2974318788898935
tag_455,0.033725321952551,-0.014588415134543481,0.041870328191441056,1.2415097425979216
tag_94,0.03353742764960653,0.008496184497093601,0.04280269927019243,1.2762662346893576
tag_901,0.03351490926791792,-0.009158892824896587,0.042790984774368025,1.2767742160527773
tag_132,0.03297134816268782,-0.012024546382501776,0.04134899913906505,1.2540884404894737
genre_mystery,0.03290404367011388,0.0008583617887262209,0.04477001676586353,1.3606231382526364
tag_613,0.032894450072015434,0.011969086739344185,0.041309057823637814,1.2558059239519483
tag_415,0.03279249917196138,0.005582793109075679,0.043340414140615055,1.3216559279846893
user_tag_comedy,0.032537007562968505,0.0012703787480903856,0.0436975228890516,1.3430094754223953
tag_849,0.0325198903736098,-0.009678847466541584,0.0412748285030666,1.2692175569074469
tag_777,0.03240455419734339,0.006470039402332239,0.042537639392117625,1.3127051835372305
tag_19,0.03230233925865245,-0.009373514901309572,0.04137324958055943,1.2808124031250532
tag_792,0.03228032375439578,-0.025369970839219394,0.03385887112829656,1.048900900031302
tag_469,0.03227222227682724,0.019989810236311276,0.03832242495129589,1.1874736343792658
tag_931,0.03207264576057339,0.005875060439184729,0.04350784474770788,1.3565401341410477
tag_770,0.031790192258602204,-0.00205612562797273,0.04288019784264322,1.3488494817940373
tag_612,0.0316268172070066,0.0004354921310421644,0.041978844213940096,1.327317594622331
tag_323,0.031562993864567075,0.013271125531203158,0.03919723377805302,1.2418727300558425
tag_377,0.03133782170495445,-0.010717114854848019,0.03965702660026194,1.265468108120328
tag_332,0.031233753469861597,-0.010898512542394347,0.03971244556146854,1.2714588685346315
tag_201,0.0312203348044495,-0.004721999932475957,0.04170922354373787,1.3359629371483912
tag_902,0.031116880803121083,-0.010297354882909414,0.04015223228581539,1.2903677472104007
tag_533,0.03107284511050605,-0.020183636518046878,0.03499326081270108,1.1261681840388558
tag_97,0.0310675655401312,-0.020221582891717743,0.03511788290773971,1.130370886597719
tag_445,0.031058051786783544,0.019198952733038465,0.03639839333005659,1.171946710001896
tag_403,0.031051249308841074,0.003669660331955633,0.04051806002691385,1.3048765469997328
decade_1960.0,0.031036447317264595,0.003426157950706891,0.04410946660571061,1.4212146107659622
tag_830,0.03101083833114929,0.012660658740409315,0.03869637540862158,1.2478334999224272
tag_919,0.030940358779125432,-0.015508857920489201,0.03632463977394222,1.1740209056089015
tag_1091,0.030812659534453345,0.008491321551267462,0.039190733318990804,1.2719032109557882
tag_522,0.030785242520994908,-0.00829639883599253,0.04169213191787226,1.3542890996082972
tag_904,0.030710989514225396,0.005782920687451819,0.0397194995212236,1.2933313845036352
tag_451,0.030482223894816064,0.001273715072935956,0.039541878641449,1.2972106564727086
tag_998,0.030418284286146572,0.0020945093527009904,0.04009792996457803,1.3182175695775245
tag_933,0.030395130701207466,-0.02406567854201994,0.030286351457324147,0.9964208343382006
tag_594,0.03036325871664084,-0.02384327692001921,0.031196883033587097,1.0274546961569189
tag_991,0.030339426964322406,-0.0033810819687361935,0.040630039434373585,1.3391823810755745
tag_416,0.030279683898111778,0.006173286247329465,0.03924600106907976,1.29611617611257
tag_1046,0.030245800633659104,0.006074053873098792,0.03859133082551228,1.2759231780207552
tag_787,0.030208065067542426,0.0044296456288478656,0.039406902203368184,1.3045155017411088
tag_1116,0.0301630577055102,-0.0009706589316518992,0.04180827520981548,1.3860750377912632
