userId,movieId,rating,timestamp
-1,356,1.3,1780310846
-1,260,1.3,1780310846
-1,480,2.8,1780310846
-1,2571,2.8,1780310846
-1,1,1.3,1780310846
-1,589,1.3,1780310846
-1,1196,1.3,1780310846
-1,1270,1.3,1780310846
-1,1210,1.3,1780310846
-1,588,1.3,1780310846
-1,590,1.4,1780310846
-1,858,1.3,1780310846
-1,364,1.3,1780310846
-1,592,1.3,1780310846
-1,1580,3.6,1780310846
-1,5952,1.4,1780310846
-1,377,1.4,1780310846
-1,7153,1.4,1780310846
-1,595,1.3,1780310846
-1,4306,5.0,1780310846
-1,648,1.3,1780310846
-1,1721,1.3,1780310846
-1,3578,1.4,1780310846
-1,1097,1.3,1780310846
-1,1240,1.4,1780310846
-1,1073,1.3,1780310846
-1,1291,1.4,1780310846
-1,2716,3.6,1780310846
-1,6539,1.3,1780310846
-1,2628,1.4,1780310846
-1,1221,1.4,1780310846
-1,5349,5.0,1780310846
-1,1213,1.4,1780310846
-1,4886,1.4,1780310846
-1,153,1.4,1780310846
-1,3793,1.3,1780310846
-1,587,1.4,1780310846
-1,3114,3.6,1780310846
-1,924,1.4,1780310846
-1,6377,1.3,1780310846
-1,58559,1.4,1780310846
