feature,mean_abs_coef,mean_coef,std_coef,cv_coef
movie_mean_rating,0.1698481255925418,0.1697214777395213,0.09995681749622114,0.5885070044926083
movie_bayesian_mean,0.11847311327105395,0.11791587454081932,0.06304154055476979,0.5321168110891905
decade_1990.0,0.05367617984132399,-0.01204998468328258,0.06924924946823892,1.290129751626402
decade_2000.0,0.05088237375132073,-0.002284506942339385,0.07051144780628954,1.3857732796266509
decade_1980.0,0.0458984711030692,0.0036249545186095946,0.06155645560800939,1.3411436310883313
tag_807,0.0431661534753053,-0.03899361836766958,0.035432820850140476,0.8208471172197419
movie_std_rating,0.04062898014076747,-0.020239809471633164,0.05846645616260666,1.4390329653786034
tag_230,0.03975775690035325,-0.0015011477994741995,0.05256344260580596,1.3220924288214722
tag_521,0.03961930917197466,-0.034849425433491704,0.036779432950930176,0.9283206708142192
tag_979,0.03868012029421055,-0.028486412539414956,0.03982552328121461,1.0296119216324227
decade_1970.0,0.037991802658326475,0.002979361593520048,0.05235163792649815,1.3779715750157686
tag_406,0.03726898992048284,-0.010984132555840775,0.048297716207628315,1.2959219810211262
tag_439,0.03630957055384306,-0.007628546239077341,0.04668060105922056,1.2856276593445752
tag_374,0.035948927681344,-0.0169589866878044,0.04442706302035062,1.2358379937164712
tag_215,0.03530920264004747,0.013121279059449651,0.044058106892682525,1.2477793640380448
tag_100,0.03481999828649738,-0.030663653788136652,0.032130031114135316,0.922746222510085
tag_920,0.034581031674484494,-0.01374274357867884,0.04347239343890936,1.2571163659013
tag_481,0.03439182190032132,0.0042960582123432135,0.04571443531880053,1.3292236206345678
tag_354,0.03409894847595433,0.005210116745835284,0.044313555604648246,1.29955745234556
tag_455,0.033996652447915124,-0.014804013079450954,0.04219653816903536,1.2411964919698493
tag_107,0.033861433152549185,0.0008899419061019624,0.04400267433790412,1.2994919956502644
tag_901,0.03380132635431894,-0.009269160567389282,0.04320698323559671,1.2782625746711334
tag_94,0.033777035347350985,0.00861902199815099,0.0430548399814702,1.2746775077189172
tag_613,0.03342065046943143,0.011885753460584554,0.04194677075290505,1.2551149547529774
tag_19,0.033299675234391694,-0.009526346982870016,0.04279456528588359,1.2851342282865077
tag_132,0.03319330821465737,-0.012052924103407529,0.041639151634172644,1.2544437818749254
user_tag_comedy,0.03313655848721336,0.0011274010081852744,0.04439188483672414,1.3396645115457246
tag_415,0.033129388755716076,0.005279889613835817,0.04383420838489085,1.3231211561703269
tag_849,0.03287085904399814,-0.009797036214054977,0.0416626361794454,1.2674637875767552
tag_522,0.03286873982034834,-0.008780971018706365,0.044860162754616496,1.3648271686574622
tag_777,0.03265716293364315,0.006552613076824233,0.04293831551128441,1.3148203489178851
tag_792,0.03247614176920175,-0.025450389000808885,0.0341029897588637,1.0500933115851716
tag_469,0.03244256167683086,0.020020159942889918,0.03855741592649353,1.1884821064918736
tag_323,0.03239289591051224,0.013605518951880079,0.04041519513489185,1.2476557443330885
tag_931,0.03233774580778123,0.0058496154003630065,0.04386076438671187,1.356332970272412
tag_377,0.03233200059587297,-0.010886266973194484,0.04105955977498874,1.2699352443064522
tag_770,0.03198014897213952,-0.0020244908528059204,0.043139411429693075,1.3489429951638223
tag_612,0.031938894818017455,0.000528986270155547,0.042379817991873,1.3269026672437931
tag_201,0.03167834856187112,-0.004887297379685156,0.0423622031388088,1.3372600431954522
tag_332,0.031390687311058985,-0.010853541390211373,0.039918119849467075,1.2716544476189087
tag_902,0.03137405489869756,-0.010448900908326125,0.04059731734292837,1.2939769670908563
tag_97,0.03128863932045467,-0.020162932780099452,0.03544313079418775,1.1327791887461605
tag_445,0.03126566691872471,0.019266731953314433,0.03668178196163615,1.173228459341873
tag_403,0.031239824163466403,0.0037875408578103347,0.040794292322870504,1.3058421536237734
tag_533,0.031219998707600016,-0.020185221868994796,0.035255835185292295,1.1292705109563221
tag_919,0.0312054346642773,-0.015707209640154603,0.0366520672656641,1.1745407783796737
decade_1960.0,0.031199132768100872,0.0034020157230105433,0.044288416892941135,1.419539543830775
tag_830,0.03117150391285443,0.012577450585718804,0.038886128679576276,1.2474892553595387
tag_1091,0.03103833912353242,0.008462812211348598,0.039515292504926955,1.2731119283327974
